dimension,share_in_dropped_cells,share_in_surviving_cells,diff,t_pval
convite,0.495828367103695,0.637706231793724,-0.141877864690029,1.06907870055107e-15
any_direct,0.0190703218116806,0.0236729294137102,-0.00460260760202963,0.333415058483711
any_cobidder,0.139451728247914,0.0781168509025225,0.0613348773453917,3.9995345792513e-07
pbu_size_q,2.43623361144219,3.56072150916515,-1.12448789772296,6.46217050897215e-154
tender_value_q,3.25148986889154,3.07187106458219,0.179618804309344,1.08850843449397e-06
log_ref_price,6.69105133298092,5.49041360903326,1.20063772394766,2.58395278794418e-16
n_firms,10.5327771156138,9.04656990574078,1.48620720987305,1.04258214860305e-07
